	n	time	time1	t2/t1
0	0	0.0	0.0	
1	1	0.0	0.0	
2	2	0.0	0.0	
3	3	0.0	0.0	
4	4	0.0	0.0	
5	5	0.0	0.0	
6	6	0.0	0.0	
7	7	0.0001	9.090909090909092e-05	0.9090909090909092
8	8	0.0	0.0	
9	9	0.0	0.0	
10	10	0.0	0.0	
11	11	0.0	0.0	
12	12	0.0	0.0	
13	13	0.0001001	9.099999999999999e-05	0.9090909090909091
14	14	0.0001	0.00018181818181818183	1.8181818181818183
15	15	0.0	0.0	
16	16	0.0	0.0	
17	17	0.0	9.090909090909092e-05	inf
18	18	0.0	0.0	
19	19	0.0001001	9.099999999999999e-05	0.9090909090909091
20	20	0.0	9.081818181818183e-05	inf
21	21	0.0001	9.090909090909092e-05	0.9090909090909092
22	22	0.0	0.0	
23	23	0.0002	0.00018181818181818183	0.9090909090909092
24	24	0.0	0.0	
25	25	0.0	0.0	
26	26	0.0	0.0	
27	27	0.0	0.0	
28	28	0.0	0.0	
29	29	0.0001	9.090909090909092e-05	0.9090909090909092
30	30	0.0	0.0	
31	31	0.0001001	9.099999999999999e-05	0.9090909090909091
32	32	0.0001	9.090909090909092e-05	0.9090909090909092
33	33	0.0	0.0	
34	34	0.00030010000000000003	0.00027281818181818185	0.9090909090909091
35	35	0.0	0.0	
36	36	0.0001001	0.00018190909090909092	1.817273635455454
37	37	0.0	0.0	
38	38	0.0001	9.090909090909092e-05	0.9090909090909092
39	39	0.0	0.0	
40	40	0.0001	9.090909090909092e-05	0.9090909090909092
41	41	0.0001	0.00018181818181818183	1.8181818181818183
42	42	0.0001001	9.099999999999999e-05	0.9090909090909091
43	43	0.0	0.0	
44	44	0.0	0.0	
45	45	0.0	0.0	
46	46	0.0001001	9.099999999999999e-05	0.9090909090909091
47	47	0.0001	9.090909090909092e-05	0.9090909090909092
48	48	0.0001	9.090909090909092e-05	0.9090909090909092
49	49	0.0001	9.090909090909092e-05	0.9090909090909092
50	50	0.0002001	0.00018190909090909092	0.9090909090909091
51	51	0.0001	0.00018181818181818183	1.8181818181818183
52	52	0.0	9.090909090909092e-05	inf
53	53	0.0	9.090909090909092e-05	inf
54	54	0.0001	9.090909090909092e-05	0.9090909090909092
55	55	0.0002	0.00018181818181818183	0.9090909090909092
56	56	0.0001	9.090909090909092e-05	0.9090909090909092
57	57	0.0002	0.00018181818181818183	0.9090909090909092
58	58	9.990000000000002e-05	9.081818181818183e-05	0.9090909090909091
59	59	0.0001	9.090909090909092e-05	0.9090909090909092
60	60	0.0001	9.090909090909092e-05	0.9090909090909092
61	61	0.0001	9.090909090909092e-05	0.9090909090909092
62	62	0.0001001	9.099999999999999e-05	0.9090909090909091
63	63	0.0002	0.00027272727272727274	1.3636363636363635
64	64	0.0002003	0.000273	1.362955566650025
65	65	0.00030010000000000003	0.00036372727272727273	1.212020235679016
66	66	0.0002001	0.00027290909090909096	1.3638635227840628
67	67	0.0005001000000000001	0.00045463636363636366	0.9090909090909091
68	68	0.0	0.0	
69	69	0.0	0.0	
70	70	0.0	9.090909090909092e-05	inf
71	71	0.0	0.0	
72	72	0.0	9.090909090909092e-05	inf
73	73	0.0	0.0	
74	74	0.0001	9.090909090909092e-05	0.9090909090909092
75	75	0.0002003	0.0001820909090909091	0.9090909090909092
76	76	0.00019989999999999998	0.00018172727272727272	0.9090909090909092
77	77	0.0002	0.00018181818181818183	0.9090909090909092
78	78	0.0001	0.00018190909090909092	1.819090909090909
79	79	0.0001	0.00018181818181818183	1.8181818181818183
80	80	0.0002001	0.00018190909090909092	0.9090909090909091
81	81	0.0002	0.00018181818181818183	0.9090909090909092
82	82	0.0002001	0.00018190909090909092	0.9090909090909091
83	83	0.0001001	0.00018199999999999998	1.8181818181818181
84	84	0.0001001	9.099999999999999e-05	0.9090909090909091
85	85	0.0001001	0.00018190909090909092	1.817273635455454
86	86	0.0001	9.090909090909092e-05	0.9090909090909092
87	87	0.0002	0.00018181818181818183	0.9090909090909092
88	88	0.0002001	0.00027281818181818185	1.3634092044886648
89	89	0.00030010000000000003	0.00036381818181818184	1.212323165005604
90	90	0.0	0.0	
91	91	0.0001001	9.099999999999999e-05	0.9090909090909091
92	92	0.00030000000000000003	0.00027272727272727274	0.9090909090909091
93	93	0.0002	0.00018181818181818183	0.9090909090909092
94	94	0.0001	9.090909090909092e-05	0.9090909090909092
95	95	0.00019989999999999998	0.0002726363636363636	1.3638637500568467
96	96	0.0001	9.090909090909092e-05	0.9090909090909092
97	97	0.00019989999999999998	0.00018172727272727272	0.9090909090909092
98	98	0.0002	0.00018181818181818183	0.9090909090909092
99	99	0.0002	0.00027272727272727274	1.3636363636363635
100	100	0.0002	0.00018181818181818183	0.9090909090909092
101	101	0.0002	0.00018181818181818183	0.9090909090909092
102	102	0.0001	9.090909090909092e-05	0.9090909090909092
103	103	0.0002001	0.00018190909090909092	0.9090909090909091
104	104	0.00030010000000000003	0.00027281818181818185	0.9090909090909091
105	105	0.0002	0.00027272727272727274	1.3636363636363635
106	106	0.0001	0.00018181818181818183	1.8181818181818183
107	107	0.0002	0.00018181818181818183	0.9090909090909092
108	108	0.0002	0.00018181818181818183	0.9090909090909092
109	109	0.00019989999999999998	0.00018172727272727272	0.9090909090909092
110	110	0.0002	0.00027272727272727274	1.3636363636363635
111	111	9.990000000000002e-05	9.081818181818183e-05	0.9090909090909091
112	112	0.0002	0.00027272727272727274	1.3636363636363635
113	113	0.0002002	0.0002729090909090909	1.3631822722731815
114	114	0.0002	0.00018181818181818183	0.9090909090909092
